book_id,author,book_name
12,Douglas Adams,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story
13,Douglas Adams,The Ultimate Hitchhiker's Guide to the Galaxy
18,Douglas Adams,The Ultimate Hitchhiker's Guide
22,Bill Bryson,Bill Bryson's African Diary
24,Bill Bryson,In a Sunburned Country
25,Bill Bryson,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away
26,Bill Bryson,The Lost Continent: Travels in Small-Town America
27,Bill Bryson,Neither Here nor There: Travels in Europe
28,Bill Bryson,Notes from a Small Island
29,Bill Bryson,The Mother Tongue: English and How It Got That Way
30,J.R.R. Tolkien,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings
36,Chris Smith,The Lord of the Rings: Weapons and Warfare
40,James Hamilton-Paterson,Cooking with Fernet Branca
53,Gary Paulsen,Guts: The True Stories behind Hatchet and the Brian Books
59,Patricia A. McKillip,The Changeling Sea
67,Edward P. Jones,The Known World
75,John McPhee,Uncommon Carriers
77,John McPhee,The Control of Nature
78,John McPhee,Annals of the Former World
79,John McPhee,Coming Into the Country
83,John McPhee,Rising from the Plains
86,Wendy Wasserstein,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic
93,Johanna Spyri,Heidi
98,Heidi Murkoff,What to Expect the First Year
104,Frank Herbert,Dune
110,Frank Herbert,The Road to Dune
112,Frank Herbert,Children of Dune
119,Gary Russell,The Art of The Fellowship of the Ring
122,Bryce Courtenay,The Power of One
151,Leo Tolstoy,Anna Karenina
162,Mulk Raj Anand,Untouchable
163,John Banville,The Untouchable
205,Charles Todd,A Long Shadow
208,Daniel Abraham,A Shadow in Summer
213,Charles Willeford,New Hope for the Dead
216,Charles Willeford,Miami Blues
231,Tom Wolfe,I Am Charlotte Simmons
246,Henry Miller,The Colossus of Maroussi
247,Henry Miller,Quiet Days in Clichy
249,Henry Miller,Tropic of Cancer
250,Henry Miller,Tropic of Capricorn
251,Henry Miller,Nexus
252,Henry Miller,Sexus
253,Henry Miller,The Air-Conditioned Nightmare
264,Henry James,The Portrait of a Lady
275,Marguerite Duras,The Lover
280,Marguerite Duras,The Ravishing of Lol Stein
295,Robert Louis Stevenson,Treasure Island
304,George Eliot,Daniel Deronda
320,Gabriel Garcia Marquez,One Hundred Years of Solitude
327,Robert M. Sapolsky,Why Zebras Don't Get Ulcers
330,Dr. Seuss,On Beyond Zebra!
348,Robert A. Heinlein,The Door Into Summer
349,Robert A. Heinlein,The Moon is a Harsh Mistress
351,Robert A. Heinlein,Starman Jones
352,Robert A. Heinlein,The Notebooks of Lazarus Long
353,Robert A. Heinlein,Time Enough for Love
354,Robert A. Heinlein,To Sail Beyond the Sunset
355,Robert A. Heinlein,Job: A Comedy of Justice
356,Robert A. Heinlein,Time for the Stars
357,Douglas Adams,The Long Dark Tea-Time of the Soul
359,Douglas Adams,The Salmon of Doubt: Hitchhiking the Galaxy One Last Time
360,Douglas Adams,Mostly Harmless
365,Douglas Adams,Dirk Gently's Holistic Detective Agency
385,Harry G. Frankfurt,On Bullshit
386,Nick Flynn,Another Bullshit Night in Suck City
397,Abraham Lincoln,The Gettysburg Address
399,Don DeLillo,Underworld
400,Don DeLillo,Libra
402,Don DeLillo,Mao II
404,Don DeLillo,Running Dog
407,Don DeLillo,Great Jones Street
408,Don DeLillo,The Names
409,Thomas Pynchon,Against the Day
410,Thomas Pynchon,V.
411,Thomas Pynchon,The Crying of Lot 49
412,Thomas Pynchon,Gravity's Rainbow
413,Thomas Pynchon,Mason & Dixon
418,Richard Farina,Been Down So Long It Looks Like Up to Me
421,Joan Didion,The White Album
422,Joan Didion,A Book of Common Prayer
423,Joan Didion,Where I Was From
424,Joan Didion,Slouching Towards Bethlehem
425,Joan Didion,Democracy
426,Joan Didion,We Tell Ourselves Stories in Order to Live: Collected Nonfiction
427,Joan Didion,Miami
428,Joan Didion,Play It As It Lays
431,Paul Auster,The New York Trilogy
432,Paul Auster,City of Glass
434,Paul Auster,Ghosts
435,Paul Auster,The Locked Room
446,Paul Auster,The Brooklyn Follies
447,Paul Auster,Moon Palace
449,Paul Auster,Timbuktu
454,Paul Auster,Travels in the Scriptorium
456,Paul Auster,Leviathan
457,Paul Auster,Auggie Wren's Christmas Story
463,Paul Auster,The Red Notebook: True Stories
475,Jared Diamond,Collapse: How Societies Choose to Fail or Succeed
478,Robert D. Putnam,Bowling Alone: The Collapse and Revival of American Community
493,Nikola Tesla,My Inventions
494,Marc J. Seifer,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius
509,Tom Stoppard,The Invention of Love
531,Victor Davis Hanson,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War
536,Alice Sebold,The Lovely Bones
539,Sharyn McCrumb,Lovely in Her Bones
597,Chuck Klosterman,Killing Yourself to Live: 85% of a True Story
599,Chuck Klosterman,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto"
620,Robert B. Parker,Small Vices
621,David Bach,The Automatic Millionaire: A Powerful One-Step Plan to Live and Finish Rich
629,Robert M. Pirsig,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values
639,Kevin O'Malley,Once Upon a Cool Motorcycle Dude
647,Naomi Klein,No Logo
662,Ayn Rand,Atlas Shrugged
665,Ayn Rand,The Virtue of Selfishness: A New Concept of Egoism
668,Ayn Rand,We the Living
676,Billy Collins,Sailing Alone Around the Room: New and Selected Poems
685,Bernard Malamud,The Natural
698,Anne Tyler,Digging to America
703,Philip Roth,The Plot Against America
707,Jon Stewart,Naked Pictures of Famous People
759,Gabriel Garcia Marquez,Collected Stories
764,Gabriel Garcia Marquez,Del amor y otros demonios
776,Steve Hagen,"Buddhism Plain & Simple: The Practice of Being Aware, Right Now, Every Day"
815,Buzz Bissinger,"3 Nights in August: Strategy, Heartbreak, and Joy Inside the Mind of a Manager"
822,Neal Stephenson,The Confusion
823,Neal Stephenson,Quicksilver
824,Neal Stephenson,The Cobweb
825,Neal Stephenson,Zodiac
826,Neal Stephenson,The Big U: A Hilarious Satire of American College Life
827,Neal Stephenson,"The Diamond Age: Or, a Young Lady's Illustrated Primer"
828,Neal Stephenson,Interface
840,Donald A. Norman,The Design of Everyday Things
841,Donald A. Norman,Emotional Design: Why We Love
865,Paulo Coelho,The Alchemist
866,Hiromu Arakawa,"Fullmetal Alchemist, Vol. 9"
868,Hiromu Arakawa,"Fullmetal Alchemist, Vol. 3"
869,Hiromu Arakawa,"Fullmetal Alchemist, Vol. 8"
870,Hiromu Arakawa,"Fullmetal Alchemist, Vol. 1"
871,Hiromu Arakawa,"Fullmetal Alchemist, Vol. 4"
873,Hiromu Arakawa,"Fullmetal Alchemist, Vol. 2"
880,Robert Harris,Pompeii
900,Neil Strauss,The Game: Penetrating the Secret Society of Pickup Artists
901,Orson Scott Card,Ender's Game
902,Ellen Raskin,The Westing Game
903,Zilpha Keatley Snyder,The Egypt Game
905,W. Timothy Gallwey,The Inner Game of Tennis: The Classic Guide to the Mental Side of Peak Performance
906,Mark Fainaru-Wada,"Game of Shadows: Barry Bonds, BALCO, and the Steroids Scandal that Rocked Professional Sports"
915,Barry Eisler,A Lonely Resurrection
925,Barry Eisler,A Clean Kill in Tokyo
929,Arthur Golden,Memoirs of a Geisha
952,Gary Chapman,The Five Love Languages of Children
960,Dan Brown,Angels & Demons
968,Dan Brown,The Da Vinci Code
976,Dan Brown,Deception Point
988,Barry Eisler,Winner Take All
998,Thomas J. Stanley,The Millionaire Next Door: The Surprising Secrets of America's Wealthy
1005,Napoleon Hill,Think and Grow Rich
1032,Donald J. Trump,Trump: The Art of the Deal
1052,George S. Clason,The Richest Man in Babylon
1059,Trevanian,Shibumi
1097,Eric Schlosser,Fast Food Nation: The Dark Side of the All-American Meal
1103,Lisa See,Snow Flower and the Secret Fan
1110,John Grisham,The Broker
1111,Robert A. Caro,The Power Broker: Robert Moses and the Fall of New York
1120,Bill Phillips,Body for Life: 12 Weeks to Mental and Physical Strength
1155,Roger Lowenstein,Buffett: The Making of an American Capitalist
1167,Barbara Park,Junie B. Jones and a Little Monkey Business
1171,Michael Lewis,Liar's Poker: Rising Through the Wreckage on Wall Street
1191,Giada De Laurentiis,Giada's Family Dinners
1192,Giada De Laurentiis,Everyday Italian: 125 Simple and Delicious Recipes
1202,Steven D. Levitt,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything
1226,Yann Martel,Life of Pi
1232,Carlos Ruiz Zafon,The Shadow of the Wind
1241,James Frey,A Million Little Pieces
1252,Donald T. Phillips,Lincoln on Leadership: Executive Strategies for Tough Times
1253,John C. Maxwell,Leadership 101: What Every Leader Needs to Know
1277,john-gray,"Men are from Mars, Women are from Venus"
1300,Jeff Pearlman,"The Bad Guys Won! : A Season of Brawling, Boozing, Bimbo Chasing, and Championship Baseball with Straw, Doc, Mookie, Nails, the Kid, and the Rest of the 1986 Mets, the Rowdiest Team Ever to Put on a New York Uniform--and Maybe the Best"
1301,Michael Lewis,Moneyball
1303,Robert Greene,The 48 Laws of Power
1305,Steven Pressfield,Gates of Fire
1307,Margaret Weis,Fire Sea
1315,Steven Pressfield,The Afghan Campaign
1316,Steven Pressfield,The Virtues of War
1317,Steven Pressfield,Tides of War: A Novel of Alcibiades and the Peloponnesian War
1354,Plato,Gorgias
1362,Herodotus,The Histories
1375,Homer,The Iliad / The Odyssey
1420,William Shakespeare,Hamlet
1426,Paulo Coelho,Warrior of the Light
1427,Paulo Coelho,The Zahir
1428,Paulo Coelho,By the River Piedra I Sat Down and Wept
1430,Paulo Coelho,Eleven Minutes
1431,Paulo Coelho,Veronika Decides to Die
1462,Euripides,Euripides I: Alcestis / The Medea / The Heracleidae / Hippolytus
1473,Euripides,Medea and Other Plays
1494,Euripides,Alcestis
1496,Euripides,Iphigenia in Aulis
1519,Aeschylus,"The Oresteia: Agamemnon, The Libation Bearers, The Eumenides"
1524,Aeschylus,Agamemnon
1535,Sophocles,"Sophocles I: Oedipus The King, Oedipus at Colonus, Antigone"
1540,Sophocles,"The Oedipus Cycle: Oedipus Rex, Oedipus at Colonus, Antigone"
1542,Sophocles,"The Three Theban Plays: Antigone, Oedipus the King, Oedipus at Colonus"
1554,Sophocles,Oedipus Rex
1560,Aristophanes,Four Plays: The Clouds/The Birds/Lysistrata/The Frogs
1567,Aristophanes,Lysistrata and Other Plays
1591,Aristophanes,Lysistrata
1620,George P. Pelecanos,The Night Gardener
1622,William Shakespeare,A Midsummer Night's Dream
1624,Beryl Markham,West with the Night
1625,William Shakespeare,Twelfth Night
1627,Annie Proulx,Brokeback Mountain
1633,David Allen,Getting Things Done: The Art of Stress-Free Productivity
1635,Larry Bossidy,Execution: The Discipline of Getting Things Done
1709,Anthony Bourdain,Kitchen Confidential: Adventures in the Culinary Underbelly
1715,Ovid,Metamorphoses
1814,Daniel Pinchbeck,2012: The Return of Quetzalcoatl
1815,Daniel Pinchbeck,Breaking Open the Head: A Psychedelic Journey into the Heart of Contemporary Shamanism
1823,Jon Ronson,Them: Adventures with Extremists
1824,Jon Ronson,The Men Who Stare at Goats
1842,Jared Diamond,"Guns, Germs, and Steel: The Fates of Human Societies"
1848,Jung Chang,Wild Swans: Three Daughters of China
1849,Nelson DeMille,Wild Fire
1850,Catherine Coulter,Born to Be Wild
1852,Jack London,The Call of the Wild
1853,Judy Sierra,Wild About Books
1869,Barbara Ehrenreich,Nickel and Dimed: On
1875,Michel Foucault,"The History of Sexuality, Volume 1: An Introduction"
1885,Jane Austen,Pride and Prejudice
1894,Jon Krakauer,Under the Banner of Heaven: A Story of Violent Faith
1897,Jon Krakauer,Eiger Dreams: Ventures Among Men and Mountains
1898,Jon Krakauer,Into Thin Air: A Personal Account of the Mt. Everest Disaster
1934,Louisa May Alcott,Little Women
1972,James B. Stewart,Den of Thieves
1987,Daniel Pool,What Jane Austen Ate and Charles Dickens Knew: From Fox Hunting to Whistthe Facts of Daily Life in 19th-Century England
1990,Charles Dickens,Martin Chuzzlewit
1991,Jared Diamond,Why Is Sex Fun? The Evolution of Human Sexuality
2046,Raymond Chandler,Raymond Chandler: Stories and Early Novels
2049,Raymond Chandler,The High Window
2050,Raymond Chandler,"Farewell, My Lovely"
2051,Raymond Chandler,The Simple Art of Murder
2054,Raymond Chandler,The Long Goodbye
2067,Daniel C. Dennett,Breaking the Spell: Religion as a Natural Phenomenon
2068,Daniel C. Dennett,Darwin's Dangerous Idea: Evolution and the Meanings of Life
2069,Daniel C. Dennett,Consciousness Explained
2081,Douglas R. Hofstadter,The Mind's I: Fantasies and Reflections on Self and Soul
2094,Stephen W. Hawking,A Briefer History of Time
2095,Stephen W. Hawking,The Universe in a Nutshell
2104,Lawrence M. Krauss,The Physics of Star Trek
2115,Ayn Rand,Atlas Shrugged & The Fountainhead
2122,Ayn Rand,The Fountainhead
2136,Michael Cunningham,Specimen Days
2137,Michael Cunningham,A Home at the End of the World
2139,Michael Cunningham,Flesh and Blood
2141,Walter Murch,In the Blink of an Eye: A Perspective on Film Editing
2142,Ted Dekker,Blink
2152,Karen Joy Fowler,The Jane Austen Book Club
2156,Jane Austen,Persuasion
2165,Ernest Hemingway,The Old Man and the Sea
2175,Gustave Flaubert,Madame Bovary
2176,Julian Barnes,Flaubert's Parrot
2182,Gustave Flaubert,Three Tales
2183,Gustave Flaubert,Sentimental Education
2187,Jeffrey Eugenides,Middlesex
2199,Doris Kearns Goodwin,Team of Rivals: The Political Genius of Abraham Lincoln
2203,David McCullough,John Adams
2249,Stephen R. Covey,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change
2255,Dan Millman,Way of the Peaceful Warrior: A Book That Changes Lives
2256,Dan Millman,Sacred Journey of the Peaceful Warrior
2265,Lance Armstrong,It's Not About the Bike: My Journey Back to Life
2279,David McCullough,Truman
2281,Truman Capote,The Complete Stories of Truman Capote
2282,Truman Capote,Breakfast at Tiffany's: A Short Novel and Three Stories
2287,Truman Capote,"Other Voices, Other Rooms"
2288,Truman Capote,Answered Prayers
2296,Steven Johnson,"Emergence: The Connected Lives of Ants, Brains, Cities, and Software"
2299,Temple Grandin,Emergence: Labeled Autistic
2305,Edith Wharton,The Ghost Stories of Edith Wharton
2316,Zilpha Keatley Snyder,The Headless Cupid
2327,J.R.R. Tolkien,The Letters of J.R.R. Tolkien
2330,Ruth S. Noel,The Languages of Tolkien's Middle-Earth
2333,J.R.R. Tolkien,Farmer Giles of Ham
2336,Bryce Courtenay,Tandia
2339,Bryce Courtenay,Jessica
2341,Bryce Courtenay,Tommo & Hawk
2367,David McCullough,Brave Companions: Portraits in History
